389,0,6172.922377,15,KERNEL_WRITE,19
390,389,6172.922471,15,KERNEL_WRITE,19
391,0,6172.923883,15,KERNEL_WRITE,19
392,391,6172.923977,15,KERNEL_WRITE,19
393,0,6172.925389,15,KERNEL_WRITE,19
394,393,6172.925483,15,KERNEL_WRITE,19
395,0,6172.926895,15,KERNEL_WRITE,19
396,395,6172.926989,15,KERNEL_WRITE,19
397,0,6172.928401,15,KERNEL_WRITE,19
398,397,6172.928495,15,KERNEL_WRITE,19
399,0,6172.929907,15,KERNEL_WRITE,19
400,399,6172.930001,15,KERNEL_WRITE,19
401,0,6172.931412,15,KERNEL_WRITE,19
402,401,6172.931507,15,KERNEL_WRITE,19
403,0,6172.932918,15,KERNEL_WRITE,19
404,403,6172.933012,15,KERNEL_WRITE,19
405,0,6172.934424,15,KERNEL_WRITE,19
406,405,6172.934518,15,KERNEL_WRITE,19
407,0,6172.935930,15,KERNEL_WRITE,19
408,407,6172.936024,15,KERNEL_WRITE,19
409,0,6172.937436,15,KERNEL_WRITE,19
410,409,6172.937530,15,KERNEL_WRITE,19
411,0,6172.938942,15,KERNEL_WRITE,19
412,411,6172.939036,15,KERNEL_WRITE,19
413,0,6172.940448,15,KERNEL_WRITE,19
414,413,6172.940542,15,KERNEL_WRITE,19
415,0,6172.941954,15,KERNEL_WRITE,19
416,415,6172.942048,15,KERNEL_WRITE,19
417,0,6172.943459,15,KERNEL_WRITE,19
418,417,6172.943554,15,KERNEL_WRITE,19
419,0,6172.944965,15,KERNEL_WRITE,19
420,419,6172.945059,15,KERNEL_WRITE,19
421,0,6172.946471,15,KERNEL_WRITE,19
422,421,6172.946565,15,KERNEL_WRITE,19
423,0,6172.947977,15,KERNEL_WRITE,19
424,423,6172.948071,15,KERNEL_WRITE,19
425,0,6172.949483,15,KERNEL_WRITE,19
426,425,6172.949577,15,KERNEL_WRITE,19
427,0,6172.950989,15,KERNEL_WRITE,19
428,427,6172.951083,15,KERNEL_WRITE,19
429,0,6172.952495,15,KERNEL_WRITE,19
430,429,6172.952589,15,KERNEL_WRITE,19
431,0,6172.954001,15,KERNEL_WRITE,19
432,431,6172.954095,15,KERNEL_WRITE,19
433,0,6172.955507,15,KERNEL_WRITE,19
434,433,6172.955601,15,KERNEL_WRITE,19
435,0,6172.957012,15,KERNEL_WRITE,19
436,435,6172.957107,15,KERNEL_WRITE,19
437,0,6172.958518,15,KERNEL_WRITE,19
438,437,6172.958612,15,KERNEL_WRITE,19
439,0,6172.960024,15,KERNEL_WRITE,19
440,439,6172.960118,15,KERNEL_WRITE,19
441,0,6172.961530,15,KERNEL_WRITE,19
442,441,6172.961624,15,KERNEL_WRITE,19
443,0,6172.963036,15,KERNEL_WRITE,19
444,443,6172.963130,15,KERNEL_WRITE,19
445,0,6172.964542,15,KERNEL_WRITE,19
446,445,6172.964636,15,KERNEL_WRITE,19
447,0,6172.966048,15,KERNEL_WRITE,19
