edge_from,edge_to,scores,labels
854,1459,0.00021770190505776554,-1
901,1427,8.651200005260762e-07,-1
879,1480,0.0002389908768236637,-1
852,1408,3.197574187652208e-05,-1
777,1200,1.2363966561679263e-07,-1
778,1200,1.171037951053222e-07,-1
821,1203,0.00039109535282477736,-1
970,1484,0.0004557462816592306,-1
898,1258,0.0004510409780777991,-1
741,1370,7.158736843848601e-05,-1
740,1370,2.1011865669606777e-07,-1
742,1370,1.8670433519218932e-06,-1
740,1378,1.6552925217183656e-06,-1
740,1377,3.148203632008517e-06,-1
189,1139,0.0007729962235316634,-1
905,1377,0.00014884941629134119,-1
821,1680,0.0003333616768941283,-1
227,1117,0.0005759710329584777,-1
889,1459,3.1864042284723837e-06,-1
977,1429,6.603432120755315e-05,-1
967,1458,0.0003558729658834636,-1
880,1242,6.736689556419151e-06,-1
896,1440,4.374553554953309e-06,-1
832,1350,6.673275493085384e-05,-1
913,1440,0.0013618376106023788,-1
941,1482,5.336681851986214e-07,-1
942,1482,3.4515974789428583e-07,-1
788,1440,4.406177595228655e-06,-1
789,1440,5.106511252961354e-06,-1
782,1790,2.7078647690359503e-05,-1
777,1143,1.3371095519687515e-07,-1
778,1143,1.8143857971608668e-07,-1
777,1144,1.1103634278697427e-05,-1
781,1238,1.1168901181690671e-07,-1
750,1218,6.691886937915115e-06,-1
975,1462,5.192383468966e-05,-1
305,1217,1.939365802172688e-06,-1
833,1185,1.2402182392179384e-07,-1
847,1458,0.00012881118163932115,-1
807,1122,4.696169071394252e-06,-1
129,1101,7.171001198003069e-05,-1
129,1102,0.0003944654599763453,-1
687,1152,0.9977633953094482,-1
848,1429,2.22390212911705e-06,-1
846,1429,9.949147994348095e-08,-1
849,1429,4.143701062275795e-06,-1
877,1409,8.702813829586376e-06,-1
869,1218,1.6091968063847162e-05,-1
699,1100,1.0712853537597766e-07,-1
705,1099,7.766191265545785e-05,-1
706,1100,1.2020905160170514e-07,-1
952,1807,5.1775809879472945e-06,-1
893,1459,3.3851999887701822e-06,-1
157,1169,2.599404069769662e-05,-1
730,1428,3.943727278965525e-06,-1
748,1428,4.103956598555669e-06,-1
731,1428,1.5215076132335525e-07,-1
730,1427,1.736893864290323e-05,-1
861,1409,1.5394339243357535e-06,-1
884,1409,1.8884948076447472e-06,-1
861,1411,3.209534770576283e-05,-1
884,1411,2.6502088076085784e-05,-1
332,1171,0.0032288499642163515,-1
772,1138,1.0027467567397252e-07,-1
835,1441,7.843141247576568e-07,-1
763,1202,2.8456170184654184e-06,-1
737,1234,4.4102594983996823e-05,-1
842,1140,5.991649913994479e-07,-1
843,1140,1.1022074630773204e-07,-1
877,1408,8.719761353859212e-06,-1
856,1408,3.2793034279166022e-06,-1
878,1408,0.0008558949339203537,-1
881,1408,0.00021292387100402266,-1
843,1138,1.680553367577886e-07,-1
735,1345,5.117594241710322e-07,-1
838,1152,1.282537311908527e-07,-1
853,1170,7.102790959834238e-07,-1
821,1164,0.0008165357867255807,-1
821,1200,3.730226865172881e-07,-1
187,1117,0.00033551815431565046,-1
741,1411,1.0823328011611011e-05,-1
740,1411,0.00024400655820500106,-1
742,1411,8.447125765087549e-06,-1
799,1440,2.0692274119937792e-05,-1
749,1424,1.8012036662184983e-06,-1
878,1409,2.885648609662894e-05,-1
881,1409,1.3603957086161245e-05,-1
213,1576,0.00012853155203629285,-1
818,1185,0.0001002072385745123,-1
803,1170,7.180652232818829e-07,-1
667,1344,2.4284149731101934e-06,-1
666,1344,1.3929681699664798e-05,-1
784,1242,0.0002133040688931942,-1
786,1242,2.461371479967056e-07,-1
787,1242,1.6594192857155576e-05,-1
867,1219,4.828169403481297e-05,-1
816,1352,4.871887540502939e-06,-1
825,1170,1.5343084669439122e-07,-1
692,1350,8.886400792107452e-06,-1
719,1122,4.172354692855151e-06,-1
722,1123,2.869530817406485e-06,-1
723,1122,6.856330401205923e-06,-1
744,1674,4.909620656690095e-06,-1
292,1171,2.5339857074868632e-06,-1
866,1234,1.6240664990618825e-05,-1
332,1184,2.798848981910851e-05,-1
853,1216,1.2173221364264464e-07,-1
853,1202,1.3706392110179877e-07,-1
753,1123,1.6597153944530874e-06,-1
887,1427,3.942106559406966e-06,-1
766,1125,4.160427852184512e-05,-1
675,1329,1.2729559273338964e-07,-1
825,1200,9.848383797361748e-08,-1
836,1409,4.835473191633355e-06,-1
804,1409,9.582557680687387e-08,-1
837,1409,1.536251261313737e-06,-1
838,1409,5.059838713350473e-06,-1
943,1791,0.00014656342682428658,-1
734,1377,9.187591558657004e-07,-1
764,1345,0.0002392934256931767,-1
699,1329,1.4866274966607307e-07,-1
832,1409,1.1861129678436555e-06,-1
816,1409,1.3781539109913865e-06,-1
748,1347,0.0004646415764000267,-1
731,1347,1.4291728689386218e-07,-1
730,1350,3.163667543049087e-06,-1
684,1345,0.00012636523752007633,-1
737,1347,3.9251997918654524e-07,-1
736,1349,1.2403936580085428e-06,-1
725,1349,1.9069165091423201e-06,-1
736,1348,1.5509396689594723e-05,-1
